0.00, 292.53, 0
4822.50, 286.14, 13
4686.75, 287.41, 15
0.00, 296.36, 0
0.00, 297.64, 0
0.00, 300.19, 0
4928.50, 304.00, 0
12480.50, 305.20, 7
15552.50, 1.34, 0
0.00, 324.44, 0
180.75, 322.98, 10
38.75, 5.09, 41
3456.00, 339.75, 0
6991.50, 338.30, 15
8624.25, 342.12, 15
128.00, 352.50, 0
8477.25, 349.81, 15
8388.75, 356.20, 12
8342.00, 1.30, 11
8422.75, 2.56, 12
0.00, 11.67, 0
0.00, 12.95, 0
8674.25, 6.41, 12
0.00, 15.50, 0
0.00, 16.78, 0
8034.25, 10.25, 12
7466.25, 11.53, 10
6936.25, 12.83, 11
0.00, 21.89, 0
5839.50, 193.41, 14
14958.25, 20.55, 15
4686.75, 23.14, 15
4115.25, 28.27, 15
1191.75, 124.70, 15
3968.00, 46.16, 0
181.25, 46.23, 15
2576.00, 59.14, 15
2515.50, 60.41, 15
2558.75, 61.66, 15
2553.75, 62.95, 15
2532.25, 64.25, 15
2137.25, 65.50, 15
2178.75, 124.30, 16
2260.25, 125.34, 15
2444.75, 71.89, 15
8271.50, 74.45, 15
2255.50, 75.66, 9
2877.25, 124.22, 23
2918.25, 124.22, 21
2957.75, 124.22, 17
3719.25, 100.02, 15
1529.00, 105.34, 15
3972.50, 81.94, 15
3971.25, 123.88, 15
801.75, 130.30, 15
8527.50, 131.70, 15
13391.50, 24.16, 16
733.25, 136.92, 15
12751.50, 22.23, 15
554.75, 146.47, 15
548.75, 147.73, 15
542.00, 148.91, 15
538.50, 150.34, 15
532.50, 151.73, 15
529.75, 152.92, 15
526.50, 154.06, 15
522.50, 155.47, 15
518.75, 156.72, 15
515.25, 158.02, 15
512.50, 159.34, 15
5226.75, 124.88, 15
13844.50, 446.05, 57
975.50, 169.88, 15
12367.50, 15.55, 21
499.50, 178.66, 15
13462.50, 282.02, 15
5924.75, 124.05, 15
509.00, 186.20, 15
510.75, 187.67, 15
514.00, 188.94, 15
518.75, 190.09, 15
523.50, 191.20, 15
528.00, 192.64, 15
8783.50, 17.92, 15
13007.50, 17.08, 24
559.50, 198.88, 15
567.00, 199.95, 15
574.75, 201.41, 15
581.25, 202.48, 15
589.00, 203.92, 15
597.00, 204.98, 15
604.25, 206.28, 15
613.00, 207.48, 15
620.75, 208.83, 15
630.50, 209.98, 15
640.75, 211.34, 15
649.50, 212.55, 15
662.00, 213.88, 15
